member_id,Meetup_1,Meetup_2,Meetup_3,Intro,Photo,Location_munich,last_visited_within_2wb_m2,last_visited_within_1wb_m2,last_visited_within_2wb_m3,last_visited_within_1wb_m3
1,x,x,RYS,0,1,1,0,0,1,1
2,x,RYN,-,0,1,1,1,1,0,0
3,-,-,RYS,0,1,0,0,0,0,0
4,x,-,-,0,1,1,0,0,0,0
5,x,x,-,0,1,1,0,0,0,0
6,x,-,-,0,1,0,1,1,0,0
7,x,x,-,0,1,1,0,0,0,0
8,x,-,-,0,1,1,0,0,0,0
9,x,x,-,0,1,1,0,0,0,0
10,x,x,-,0,0,1,0,0,0,0
11,x,x,-,0,0,1,0,0,1,1
12,x,x,-,0,0,1,0,0,1,0
13,x,RYN,-,0,1,1,1,1,0,0
14,-,-,-,0,1,1,0,0,0,0
15,-,RYN,-,0,1,1,1,1,0,0
16,RYN,RYS,RYN,0,1,1,1,1,1,1
17,RYS,RYN,RYN,0,1,1,1,1,1,1
18,x,x,-,0,1,1,0,0,0,0
19,RN,-,-,0,0,1,0,0,0,0
20,x,x,RYS,0,1,0,0,0,1,1
21,x,x,-,0,0,1,0,0,0,0
22,RYN,RN,RYN,0,1,1,1,1,1,1
23,RYS,RN,-,0,0,1,1,1,0,0
24,RN,RYS,RYN,0,1,1,1,1,1,1
25,x,x,RYN,0,1,1,0,0,1,1
26,x,x,-,0,1,1,0,0,0,0
27,x,x,RYS,0,1,0,0,0,1,1
28,RYS,RN,RN,1,1,1,1,1,1,1
29,x,RYN,-,0,1,1,1,1,0,0
30,-,-,-,0,1,1,0,0,0,0
31,x,-,-,0,1,1,1,0,0,0
32,x,x,RYN,0,1,1,0,0,1,0
33,x,x,-,0,1,1,0,0,1,1
34,x,-,-,0,1,0,1,1,0,0
35,x,-,-,0,1,1,0,0,0,0
36,-,-,-,0,1,0,0,0,1,1
37,x,RYS,RN,0,1,1,1,1,1,1
38,-,-,-,0,0,1,0,0,0,0
39,x,RYS,-,0,1,1,1,1,0,0
40,-,-,-,0,1,1,0,0,0,0
41,-,-,-,0,1,1,1,1,1,1
42,x,x,-,0,1,1,0,0,0,0
43,x,-,-,0,1,1,0,0,0,0
44,x,x,-,0,1,1,1,1,0,0
45,x,-,-,0,1,1,1,1,0,0
46,x,-,-,0,0,1,0,0,0,0
47,x,RN,-,0,1,1,1,1,0,0
48,RYN,RN,-,0,1,1,1,1,0,0
49,-,-,-,0,0,1,0,0,0,0
50,x,x,-,0,1,1,0,0,0,0
51,x,x,-,0,0,1,0,0,0,0
52,x,x,RYN,0,1,1,0,0,1,1
53,RYS,RN,-,0,1,1,1,0,0,0
54,x,x,-,0,1,1,0,0,0,0
55,x,x,-,0,1,1,0,0,1,1
56,x,RYS,-,0,1,1,1,1,0,0
57,x,-,-,0,1,1,0,0,0,0
58,RN,RN,-,0,1,1,1,1,0,0
59,x,x,-,0,1,1,0,0,0,0
60,x,-,-,0,1,1,0,0,0,0
61,x,x,-,0,1,1,1,1,0,0
62,x,-,-,0,1,1,0,0,0,0
63,RN,-,-,0,1,1,1,1,0,0
64,x,x,-,0,1,1,0,0,0,0
65,x,RYS,-,0,1,1,1,1,0,0
66,RYS,RYN,-,0,0,1,1,1,0,0
67,x,-,-,0,1,1,0,0,0,0
68,x,RYS,-,1,1,1,1,1,0,0
69,RYS,-,-,0,1,1,0,0,0,0
70,-,-,-,0,1,1,0,0,0,0
71,x,-,-,0,1,1,0,0,0,0
72,-,-,-,0,1,1,0,0,0,0
73,-,-,-,0,1,1,1,1,0,0
74,-,-,-,0,1,1,0,0,0,0
75,x,RYS,RYN,0,1,1,1,1,1,1
76,RYN,-,-,0,0,1,0,0,0,0
77,x,x,-,0,1,1,1,1,0,0
78,x,-,RYN,0,1,1,0,0,1,1
79,x,x,RN,0,1,1,0,0,1,1
80,-,-,-,0,1,1,0,0,0,0
81,-,-,-,0,1,1,0,0,0,0
82,x,RN,-,0,1,1,1,1,0,0
83,x,-,-,0,1,1,0,0,0,0
84,x,x,-,0,1,1,0,0,0,0
85,x,x,-,0,1,1,0,0,1,1
