Date 	Member Joins		
09.04.2016	1	4	1
10.04.2016	0	4	1
11.04.2016	3	4	4
12.04.2016	17	4	21
13.04.2016	14	4	35
14.04.2016	8	4	43
15.04.2016	61	4	104
16.04.2016	26	4	130
17.04.2016	12	4	142
18.04.2016	18	4	160
19.04.2016	13	4	173
20.04.2016	8	4	181
21.04.2016	5	4	186
22.04.2016	9	4	195
23.04.2016	2	4	197
24.04.2016	7	4	204
25.04.2016	4	4	208
26.04.2016	3	4	211
27.04.2016	6	4	217
28.04.2016	5	4	222
29.04.2016	2	4	224
30.04.2016	3	4	227
01.05.2016	6	5	233
02.05.2016	5	5	238
03.05.2016	3	5	241
04.05.2016	4	5	245
05.05.2016	2	5	247
06.05.2016	2	5	249
07.05.2016	6	5	255
08.05.2016	3	5	258
09.05.2016	9	5	267
10.05.2016	5	5	272
11.05.2016	5	5	277
12.05.2016	4	5	281
13.05.2016	1	5	282
14.05.2016	2	5	284
15.05.2016	0	5	284
16.05.2016	5	5	289
17.05.2016	2	5	291
18.05.2016	4	5	295
19.05.2016	2	5	297
20.05.2016	3	5	300
21.05.2016	2	5	302
22.05.2016	3	5	305
23.05.2016	0	5	305
24.05.2016	1	5	306
25.05.2016	2	5	308
26.05.2016	1	5	309
27.05.2016	3	5	312
28.05.2016	1	5	313
29.05.2016	9	5	322
30.05.2016	0	5	322
31.05.2016	2	5	324
01.06.2016	4	6	328
02.06.2016	4	6	332
03.06.2016	1	6	333
04.06.2016	2	6	335
05.06.2016	4	6	339
06.06.2016	6	6	345
07.06.2016	1	6	346
08.06.2016	6	6	352
09.06.2016	4	6	356
10.06.2016	3	6	359
11.06.2016	5	6	364
12.06.2016	1	6	365
13.06.2016	3	6	368
14.06.2016	7	6	375
15.06.2016	5	6	380
16.06.2016	4	6	384
17.06.2016	4	6	388
18.06.2016	1	6	389
19.06.2016	6	6	395
20.06.2016	3	6	398
21.06.2016	11	6	409
22.06.2016	4	6	413
23.06.2016	3	6	416
24.06.2016	4	6	420
25.06.2016	2	6	422
26.06.2016	1	6	423
27.06.2016	2	6	425
28.06.2016	1	6	426
29.06.2016	5	6	431
30.06.2016	0	6	431
01.07.2016	2	7	433
02.07.2016	2	7	435
03.07.2016	0	7	435
04.07.2016	0	7	435
05.07.2016	2	7	437
06.07.2016	2	7	439
07.07.2016	4	7	443
08.07.2016	1	7	444
09.07.2016	1	7	445
10.07.2016	3	7	448
11.07.2016	4	7	452
12.07.2016	4	7	456
13.07.2016	0	7	456
14.07.2016	1	7	457
15.07.2016	0	7	457
16.07.2016	2	7	459
17.07.2016	1	7	460
18.07.2016	2	7	462
19.07.2016	1	7	463
20.07.2016	5	7	468
21.07.2016	6	7	474
22.07.2016	2	7	476
23.07.2016	0	7	476
24.07.2016	1	7	477
25.07.2016	0	7	477
26.07.2016	1	7	478
27.07.2016	0	7	478
28.07.2016	1	7	479
29.07.2016	3	7	482
30.07.2016	3	7	485
31.07.2016	0	7	485
01.08.2016	5	8	490
02.08.2016	4	8	494
03.08.2016	3	8	497
04.08.2016	4	8	501
05.08.2016	2	8	503
06.08.2016	3	8	506
07.08.2016	1	8	507
08.08.2016	1	8	508
09.08.2016	1	8	509
10.08.2016	2	8	511
11.08.2016	0	8	511
12.08.2016	2	8	513
13.08.2016	0	8	513
14.08.2016	1	8	514
15.08.2016	2	8	516
16.08.2016	1	8	517
17.08.2016	1	8	518
18.08.2016	3	8	521
19.08.2016	0	8	521
20.08.2016	1	8	522
21.08.2016	4	8	526
22.08.2016	4	8	530
23.08.2016	1	8	531
24.08.2016	0	8	531
25.08.2016	1	8	532
26.08.2016	1	8	533
27.08.2016	0	8	533
28.08.2016	5	8	538
29.08.2016	3	8	541
30.08.2016	8	8	549
31.08.2016	0	8	549
01.09.2016	3	9	552
02.09.2016	2	9	554
03.09.2016	2	9	556
04.09.2016	2	9	558
05.09.2016	1	9	559
06.09.2016	2	9	561
07.09.2016	1	9	562
08.09.2016	1	9	563
09.09.2016	1	9	564
10.09.2016	4	9	568
11.09.2016	0	9	568
12.09.2016	3	9	571
13.09.2016	3	9	574
14.09.2016	0	9	574
15.09.2016	2	9	576
16.09.2016	3	9	579
17.09.2016	0	9	579
18.09.2016	3	9	582
19.09.2016	4	9	586
20.09.2016	1	9	587
21.09.2016	0	9	587
22.09.2016	2	9	589
23.09.2016	1	9	590
24.09.2016	1	9	591
25.09.2016	4	9	595
26.09.2016	2	9	597
27.09.2016	3	9	600
28.09.2016	1	9	601
29.09.2016	4	9	605
30.09.2016	6	9	611
01.10.2016	1	10	612
02.10.2016	3	10	615
03.10.2016	2	10	617
04.10.2016	8	10	625
05.10.2016	3	10	628
06.10.2016	9	10	637
07.10.2016	2	10	639
08.10.2016	6	10	645
09.10.2016	2	10	647
