sourceX,sourceY,member group,responder type,intro,photo,from Munich
meetup3,joined meetup group,all members,early responders,1,12,13
meetup2,responded No,members since meetup 2,early responders,1,2,1
meetup4,responded but did not show up,members since meetup 4,all responders,1,15,16
meetup4,responded but did not show up,members since meetup 2,early responders,0,1,1
meetup3,responded No,all members,early responders,0,6,7
meetup3,responded and showed up,members since meetup 2,very late responders,0,1,2
meetup2,responded and showed up,all members,all responders,8,57,64
meetup3,joined meetup group,members since meetup 4,early responders,1,12,13
meetup3,did not respond,members since meetup 1,very late responders,0,4,4
meetup1,did not respond,all members,early responders,0,3,3
meetup3,did not respond,all members,early responders,1,8,10
meetup2,did not respond,members since meetup 2,all responders,0,127,141
meetup2,responded and showed up,members since meetup 2,very late responders,1,1,3
meetup4,responded but did not show up,members since meetup 1,early responders,0,4,4
meetup2,responded and showed up,members since meetup 2,normal responders,0,2,3
meetup2,responded No,members since meetup 1,early responders,0,3,3
meetup4,did not respond,members since meetup 3,all responders,1,222,223
meetup4,responded No,members since meetup 3,early responders,0,4,4
meetup4,responded but did not show up,members since meetup 4,very late responders,0,6,7
meetup3,responded No,members since meetup 2,all responders,0,6,10
meetup4,responded and showed up,members since meetup 1,early responders,1,6,7
meetup1,did not respond,members since meetup 1,very late responders,0,1,1
meetup3,responded and showed up,all members,early responders,2,17,19
before meetup1,joined meetup group,all members,all responders,19,327,338
meetup2,did not respond,all members,all responders,9,365,387
meetup4,responded and showed up,members since meetup 3,early responders,0,3,4
meetup2,responded No,members since meetup 2,all responders,1,15,17
meetup1,responded but did not show up,all members,normal responders,0,1,1
meetup4,responded but did not show up,members since meetup 2,all responders,0,3,3
before meetup1,joined meetup group,members since meetup 1,very late responders,1,9,9
meetup4,responded No,members since meetup 1,all responders,1,14,13
meetup4,responded No,members since meetup 4,normal responders,0,1,1
meetup2,responded and showed up,all members,early responders,1,11,12
meetup3,responded and showed up,members since meetup 1,normal responders,0,3,3
meetup3,responded but did not show up,members since meetup 2,all responders,0,12,10
meetup4,responded No,members since meetup 2,normal responders,0,1,3
meetup3,did not respond,members since meetup 3,all responders,0,174,180
meetup2,responded but did not show up,all members,all responders,0,48,47
meetup2,did not respond,all members,very late responders,0,2,2
meetup2,did not respond,members since meetup 1,very late responders,0,2,2
meetup1,responded No,members since meetup 1,very late responders,0,1,1
meetup3,responded and showed up,all members,all responders,8,68,72
meetup3,did not respond,all members,very late responders,1,12,15
meetup4,responded but did not show up,members since meetup 1,very late responders,0,1,1
meetup3,joined meetup group,members since meetup 4,very late responders,0,12,18
meetup4,responded and showed up,members since meetup 3,all responders,1,7,10
meetup1,responded but did not show up,members since meetup 1,normal responders,0,1,1
meetup4,responded and showed up,all members,normal responders,1,12,13
meetup3,responded and showed up,members since meetup 1,very late responders,0,2,2
meetup4,responded but did not show up,members since meetup 3,very late responders,0,5,6
meetup3,responded No,all members,very late responders,0,1,1
meetup2,joined meetup group,members since meetup 3,early responders,0,8,12
meetup3,did not respond,members since meetup 3,early responders,0,1,1
